address,lat,lng,price,bed,bath,sqft,lotSize,property_type,property_style,year_built
"18 Acres Highway 256 West Branch, NS B0K 1R0",0.0,0.0,58900.0,,,0,784080.0,Land,,
"315 S Foord St Stellarton, NS B0K 1S0",45.553799,-62.661415,129900.0,,,0,4800.0,Multifamily,,
"1316 Blue Sea Rd Malagash Point, NS B0K 1E0",45.799419,-63.264782,429000.0,3.0,2.0,0,1724841.0,Single Family,,1904.0
"Jim Bailey Road Keeble, NS B0K 1V0",0.0,0.0,32500.0,,,0,435600.0,Land,,
"4 Shore Rd Lower Barneys River, NS B0K 1G0",0.0,0.0,250000.0,,,0,588931.0,Land,,
"677 Blue Sea Rd Malagash Point, NS B0K 1E0",45.804649,-63.297096,725000.0,4.0,2.0,0,653400.0,Single Family,,1904.0
"8820 Highway 311 Balfron, NS B0K 1V0",0.0,0.0,114500.0,,,0,226512.0,Land,,
"38 Pugwash Point Rd Pugwash, NS B0K 1L0",45.862,-63.664501,149000.0,,,0,78408.0,Land,,
"23 Pugwash Point Rd Pugwash, NS B0K 1L0",45.862106,-63.663998,99000.0,,,0,69696.0,Land,,
"31 Pugwash Point Rd Pugwash, NS B0K 1L0",45.861961,-63.663933,105000.0,,,0,56628.0,Land,,
"37 Pugwash Point Rd Pugwash, NS B0K 1L0",45.862015,-63.664429,149000.0,,,0,78408.0,Land,,
"42 Pugwash Point Rd Pugwash, NS B0K 1L0",45.861935,-63.664783,145000.0,,,0,78408.0,Land,,
"36 Pugwash Point Rd Pugwash, NS B0K 1L0",45.86203,-63.664356,149000.0,,,0,82764.0,Land,,
"45 Pugwash Point Rd Pugwash, NS B0K 1L0",45.861881,-63.664993,125000.0,,,0,69696.0,Land,,
"35 Pugwash Point Rd Pugwash, NS B0K 1L0",45.862045,-63.664284,139000.0,,,0,74052.0,Land,,
"44 Pugwash Point Rd Pugwash, NS B0K 1L0",45.861897,-63.664925,125000.0,,,0,69696.0,Land,,
"Lot 01 Highway 6 East Wallace, NS B0K 1Y0",0.0,0.0,89900.0,,,0,34099.0,Land,,
"Lot Highway 376 Pictou, NS B0K 1H0",0.0,0.0,99900.0,,,0,19998.0,Land,,
"Lot 23 2 Ns-245 Highway Mcarras Brook, NS B0K 1G0",0.0,0.0,149000.0,,,0,76422.0,Land,,
"825 Brule Shore Rd Brule Shore, NS B0K 1V0",45.739209,-63.241181,59900.0,,,0,148104.0,Land,,
"11 South Main Street Westville, NS B0K 2A0",45.558548,-62.71389,24900.0,,,0,22760.0,Land,,
"3764 Little Harbour Rd Trenton, NS B0K 1X0",45.605068,-62.616909,29649.0,,,0,48787.0,Land,,
"North Wallace Bay Road North Wallace Bay, NS B0K 1M0",45.825643,-63.579616,55000.0,,,0,179903.0,Land,,
"223 Scotch Hill Rd Pictou, NS B0K 1H0",45.679123,-62.791294,1295000.0,6.0,3.0,0,6969600.0,Single Family,,
"11 Macintosh Rd West Branch, NS B0K 1R0",45.638756,-63.048885,178000.0,2.0,1.0,0,522720.0,Single Family,,1995.0
"B7 Brook Avenue Lyons Brook, NS B0K 1H0",0.0,0.0,34500.0,,,0,53148.0,Land,,
"Lot 2 Balmoral Road New Annan, NS B0K 1V0",0.0,0.0,37500.0,,,0,322344.0,Land,,
"Lot 17 Truro Road New Annan, NS B0K 1V0",0.0,0.0,35500.0,,,0,261360.0,Land,,
"Lot Tattrie Settlement Road French River, NS B0K 1V0",0.0,0.0,250000.0,,,0,2178000.0,Land,,
"Lot Truro Road Tatamagouche, NS B0K 1V0",0.0,0.0,27900.0,,,0,21780.0,Land,,
"Back Mountain Road Earltown, NS B0K 1V0",0.0,0.0,109000.0,,,0,2918520.0,Land,,
"West Branch Road Welsford, NS B0K 1N0",45.703239,-63.052868,110000.0,,,0,404672.0,Land,,
"1 Balmoral Rd New Annan, NS B0K 1V0",45.640083,-63.36031,49900.0,,,0,696960.0,Land,,
"Lot 10 Balmoral Road New Annan, NS B0K 1V0",0.0,0.0,29900.0,,,0,95832.0,Land,,
"Lot 23-3 West Tatamagouche Road West Tatamagouche, NS B0K 1V0",45.710258,-63.419727,29900.0,,,0,218236.0,Land,,
"Lot 23-2 West Tatamagouche Road West Tatamagouche, NS B0K 1V0",0.0,0.0,29900.0,,,0,215622.0,Land,,
"Lot 23-4 West Tatamagouche Road West Tatamagouche, NS B0K 1V0",45.710258,-63.419727,29900.0,,,0,217800.0,Land,,
"435 Horton Point Rd Malagash, NS B0K 1E0",45.809811,-63.42659,99500.0,,,0,304920.0,Land,,
"6 Marshville Rd #21 Pictou County, NS B0K 1N0",0.0,0.0,59900.0,,,0,101930.0,Land,,
"14 Street Trenton, NS B0K 1X0",45.615429,-62.623642,29900.0,,,0,7200.0,Land,,
"Lot 3b Highway 4 Telford, NS B0K 1G0",45.631504,-61.592335,79900.0,,,0,1612156.0,Land,,
"Lot B Slade Road Tatamagouche, NS B0K 1V0",45.701443,-63.37846,1190000.0,,,0,4587304.0,Land,,
"565 Caribou Island Rd Pictou, NS B0K 1H0",45.760979,-62.749321,379000.0,2.0,1.0,0,21780.0,Single Family,,2019.0
"44 Holmes Ln Westville, NS B0K 2A0",45.543331,-62.747574,924900.0,5.0,3.0,0,296644.0,Single Family,Bungalow,2015.0
"Hedgeville Road Seafoam, NS B0K 1N0",0.0,0.0,114999.0,,,0,2831400.0,Land,,
"1911 Granton Abercrombie Rd Pictou, NS B0K 1H0",45.638561,-62.70116,1595000.0,4.0,6.0,0,552341.0,Single Family,Bungalow,2008.0
"2361 N Wallace Rd North Wallace, NS B0K 1Y0",45.826004,-63.47958,699000.0,7.0,3.0,0,217800.0,Single Family,,2007.0
"Lot 32 Seastone Drive Port Howe, NS B0K 1K0",0.0,0.0,47900.0,,,0,78992.0,Land,,
"0 Brule Point Rd Brule, NS B0K 1V0",45.732407,-63.207611,649900.0,,,0,1742400.0,Land,,
"62 Semple Creek Rd Brule, NS B0K 1V0",45.735165,-63.19376,685000.0,4.0,3.0,0,243936.0,Single Family,,2002.0
"388 Robertsons Rd Egerton, NS B0K 1G0",45.610649,-62.492573,825000.0,3.0,3.0,0,87991.0,Single Family,3 Level,2002.0
"Lot Acadia Avenue Stellarton, NS B0K 1S0",0.0,0.0,40000.0,,,0,37510.0,Land,,
"3 Ns-4 Wentworth, NS B0K 1Y0",45.550388,-63.550617,44900.0,,,0,76814.0,Land,,
"229 Lairg Rd New Lairg, NS B0K 2A0",0.0,0.0,239000.0,,,0,9888120.0,Land,,
"40 Acres 6 Hwy Brule, NS B0K 1V0",45.66827,-63.245281,365000.0,,,0,,Land,,
"No 6 Highway Port Howe, NS B0K 1K0",45.825554,-63.754036,99900.0,,,0,0.0,Land,,
"27 Seastone Dr Port Howe, NS B0K 1K0",45.85746,-63.741791,32500.0,,,0,0.0,Land,,
"Lot 2-21 Schooner Lane Brule, NS B0K 1V0",45.745148,-63.162781,49900.0,,,0,,Land,,
"Lot 2-24 Schooner Lane Brule, NS B0K 1V0",45.745148,-63.162781,49900.0,,,0,,Land,,
"Lot 2-19 Schooner Lane Brule, NS B0K 1V0",45.745148,-63.162781,49900.0,,,0,,Land,,
"Lot 2-20 Schooner Lane Brule, NS B0K 1V0",45.745148,-63.162781,49900.0,,,0,,Land,,
"69 Lawrence Boulevard Stellarton, NS B0K 1S0",45.57341,-62.667191,450750.0,,,0,,Land,,
"61 Lawrence Boulevard Stellarton, NS B0K 1S0",45.572071,-62.666164,52899.0,,,0,,Land,,
"Back Mountain Road East Earltown, NS B0K 1V0",0.0,0.0,400000.0,,,0,2570040.0,Land,,
"2084 Spring Garden Road Westville, NS B0K 2A0",45.567587,-62.707651,120000.0,,,0,261360.0,Land,,
"5 Acres Barneys River Rd #3 Lower Barneys River, NS B0K 1G0",0.0,0.0,32900.0,,,0,152460.0,Land,,
"Lots Marsh Road Coalburn, NS B0K 1W0",0.0,0.0,23900.0,,,0,0.0,Land,,
"Lot 99 North Shore Road East Wallace, NS B0K 1E0",0.0,0.0,57000.0,,,0,0.0,Land,,
"Lot 4 Malagash Road|baywood Estates Malagash, NS B0K 1E0",0.0,0.0,45900.0,,,0,0.0,Land,,
"67 Lawrence Boulevard Stellarton, NS B0K 1S0",45.57309,-62.6669,132248.0,,,0,0.0,Land,,
"91 Highway 242 Joggins, NS B0L 1A0",45.615948,-64.518501,129900.0,,,0,16522.0,Other,,
"83 Highway 242 JOGGINS, NS B0L 1A0",0.0,0.0,25900.0,,,0,8242.0,Land,,
"Lot Shulie Drive Joggins, NS B0L 1A0",45.575047,-64.612595,30000.0,,,0,19998.0,Land,,
"Lot Highway 242 Strathcona, NS B0L 1G0",45.7197,-64.403412,24900.0,,,0,436602.0,Land,,
"139 Main St Joggins, NS B0L 1A0",45.693226,-64.444931,329900.0,3.0,4.0,0,51836.0,Single Family,,
"8 Highway 242 Joggins, NS B0L 1A0",45.615948,-64.518501,89900.0,,,0,238709.0,Land,,
"802 Dawson Rd Ellershouse, NS B0L 1L0",44.939457,-63.97739,4000000.0,,,0,95950680.0,Land,,
"1535 Kolbec Rd Oxford, NS B0M 1P0",45.775761,-63.825459,349900.0,4.0,2.0,0,56628.0,Single Family,,
"10 Lorne St Springhill, NS B0M 1X0",45.652561,-64.053833,149900.0,2.0,1.0,0,5001.0,Single Family,,1936.0
"63 Cowan St Springhill, NS B0M 1X0",45.637482,-64.062019,159900.0,3.0,1.0,0,16562.0,Single Family,,1939.0
"602 Main St Parrsboro, NS B0M 1S0",45.405285,-64.325539,249900.0,3.0,2.0,0,19998.0,Single Family,Bungalow,
"472 Main St Parrsboro, NS B0M 1S0",45.405285,-64.325539,389999.0,5.0,2.0,0,18339.0,Single Family,,1899.0
"5072 Main St Oxford, NS B0M 1P0",45.733448,-63.870781,189500.0,3.0,2.0,0,14501.0,Single Family,,
"99 Mount Pleasant Oxford, NS B0M 1P0",45.754559,-63.843399,165000.0,2.0,2.0,0,255262.0,Single Family,,
"429 Water St Oxford, NS B0M 1P0",45.731705,-63.855782,149000.0,2.0,1.0,0,,Single Family,Mini,2012.0
"167 Phinney Ln Parrsboro, NS B0M 1S0",45.387554,-64.336937,799900.0,4.0,2.0,0,388120.0,Single Family,Bungalow,2017.0
"3 Princess St Springhill, NS B0M 1X0",45.651154,-64.05249,119000.0,3.0,1.0,0,8952.0,Single Family,,1949.0
"277 Main St Parrsboro, NS B0M 1S0",45.405891,-64.325912,315000.0,5.0,3.0,0,9400.0,Single Family,,1861.0
"203 Mcgee St Springhill, NS B0M 1X0",45.634781,-64.07766,129900.0,3.0,1.0,0,15416.0,Single Family,Bungalow,
"Acreage Westchester, NS B0M 2A0",0.0,0.0,159000.0,,,0,4653650.0,Land,,
"Lot Bm-17 Orchard Beach Drive Portapique, NS B0M 1B0",45.395847,-63.702496,29000.0,,,0,61468.0,Land,,
"1095 Hansford Rd Oxford, NS B0M 1P0",45.722359,-63.78096,269000.0,3.0,2.0,0,63598.0,Single Family,,
"204 Highway #9189 South Victoria, NS B0M 1P0",0.0,0.0,21900.0,,,0,410135.0,Land,,
"8863 Highway 2 Great Village, NS B0M 1L0",45.41193,-63.595428,289900.0,3.0,2.0,0,28684.0,Single Family,,
"389 Shore Rd Masstown, NS B0M 1G0",0.0,0.0,339000.0,4.0,2.0,0,15098.0,Single Family,,1987.0
"676 Westchester Rd Sutherlands Lake, NS B0M 1M0",45.534432,-63.695415,180000.0,,,0,1593860.0,Land,,
"67 Judge Fulton Rd Bass River, NS B0M 1B0",45.40876,-63.779133,174900.0,2.0,1.0,0,98446.0,Single Family,Contemporary,
"Lot 52 Fundy Lane Two Islands, NS B0M 1S0",0.0,0.0,65000.0,,,0,99752.0,Land,,
"49 Chapel St Parrsboro, NS B0M 1S0",45.405426,-64.324837,190000.0,3.0,1.0,0,6700.0,Single Family,,
"45 Putnam Rd Masstown, NS B0M 1G0",0.0,0.0,367000.0,3.0,2.0,0,32670.0,Single Family,,
"9909 Highway 2 Glenholme, NS B0M 1L0",45.18977,-63.308937,284900.0,2.0,1.0,0,130680.0,Single Family,,1947.0
"Highway 2 Carrs Brook, NS B0M 1G0",0.0,0.0,249900.0,,,0,431244.0,Land,,
"Lot 1 Highway 486 RIVER PHILIP, NS B0M 1V0",0.0,0.0,59900.0,,,0,100144.0,Land,,
"2 Highway Unit 959 #959 Five Islands, NS B0M 1K0",45.411869,-64.046143,214900.0,3.0,1.0,0,25409.0,Single Family,,1953.0
"Lot 14 Black Lake Road Black Lake, NS B0M 1X0",0.0,0.0,30000.0,,,0,72575.0,Land,,
"Lots Sussex Place & Dance Hall Lane Portapique, NS B0M 1B0",0.0,0.0,297900.0,,,0,802332.0,Land,,
"Lot Upper Belmont Road Belmont, NS B0M 1G0",0.0,0.0,99900.0,,,0,2178000.0,Land,,
"5102 Main St Oxford, NS B0M 1P0",45.734055,-63.870037,374900.0,5.0,2.0,0,8799.0,Single Family,,
"86 Belmont Rd Lower Onslow, NS B0M 1C0",45.389584,-63.40567,360000.0,2.0,1.0,0,96337.0,Single Family,,
"108 Belmont Rd Lower Onslow, NS B0M 1C0",45.389584,-63.40567,360000.0,2.0,1.0,0,116214.0,Single Family,,
"43 Lorenzos Way Sutherlands Lake, NS B0M 1G0",45.512264,-63.677708,429900.0,3.0,2.0,0,73616.0,Single Family,Bungalow,2001.0
"Lot Highway 104 Westchester Valley, NS B0M 2A0",0.0,0.0,199900.0,,,0,2831400.0,Land,,
"2193 Hunter Rd West Wentworth, NS B0M 1E0",45.713661,-63.571861,305000.0,2.0,1.0,0,196020.0,Single Family,,2014.0
"249 Back Rd Montrose, NS B0M 1B0",0.0,0.0,75900.0,,,0,87120.0,Land,,
"Spencer Cross Road Great Village, NS B0M 1L0",45.410244,-63.583225,175000.0,,,0,3013895.0,Land,,
"1624 Valley Rd Wentworth, NS B0M 1Z0",45.625114,-63.558041,349000.0,3.0,3.0,0,57199.0,Single Family,Bungalow,1970.0
"239 Bay Shore Rd Five Houses, NS B0M 1B0",45.392521,-63.724289,84900.0,1.0,,0,15002.0,Single Family,"Camp,Bungalow",
"47 Great Village Lornevale Rd Great Village, NS B0M 1L0",45.418488,-63.601093,314900.0,5.0,2.0,0,27012.0,Single Family,,
"8920 Highway 2 Great Village, NS B0M 1L0",45.409954,-63.593773,274900.0,3.0,1.0,0,8215.0,Single Family,,
"23 Spencer Cross Rd #-2 Great Village, NS B0M 1L0",0.0,0.0,49900.0,,,0,52708.0,Land,,
"23 Spencer Cross Rd #-1 Great Village, NS B0M 1L0",0.0,0.0,49900.0,,,0,55809.0,Land,,
"23 Spencer Cross Rd #-3 Great Village, NS B0M 1L0",0.0,0.0,49900.0,,,0,54450.0,Land,,
"1510 Belmont Rd Belmont, NS B0M 1G0",45.44104,-63.385094,324500.0,3.0,1.0,0,20016.0,Single Family,Bungalow,1982.0
"209 Highway Diligent River, NS B0M 1S0",0.0,0.0,35000.0,,,0,827640.0,Land,,
"204 Highway Streets Ridge, NS B0M 1P0",45.736475,-63.868328,199900.0,,,0,5662800.0,Land,,
"144 Lightbody Rd Belmont, NS B0M 1G0",45.428879,-63.393795,495000.0,3.0,2.0,0,86249.0,Single Family,Bungalow,2002.0
"21 Lisgar St Springhill, NS B0M 1X0",45.650017,-64.061302,129900.0,2.0,1.0,0,10176.0,Single Family,,1936.0
"2569 Glooscap Trail Hwy Carrs Brook, NS B0M 1B0",45.473232,-63.763016,895000.0,4.0,5.0,0,1533369.0,Single Family,,2015.0
"495 Highway 4 Folly Lake, NS B0M 1G0",0.0,0.0,699900.0,4.0,3.0,0,49658.0,Single Family,Chalet,1997.0
"204 Highway Unit 10880 #10880 Streets Ridge, NS B0M 1P0",45.71965,-63.777626,199500.0,3.0,2.0,0,174240.0,Single Family,,
"1207 Hunter Rd Wentworth, NS B0M 1Z0",45.68504,-63.604763,350000.0,3.0,1.0,0,78408.0,Single Family,Bungalow,1975.0
"48 Judge Fulton Rd Bass River, NS B0M 1B0",45.409706,-63.779922,159900.0,2.0,1.0,0,46479.0,Single Family,Bungalow,
"8719 Highway 2 Great Village, NS B0M 1L0",45.416103,-63.600826,325000.0,3.0,2.0,0,21780.0,Single Family,,
"Hansford Road Hansford, NS B0M 1P0",0.0,0.0,14900.0,,,0,479160.0,Land,,
"307 Highway #700 Wentworth, NS B0M 1Z0",0.0,0.0,33900.0,,,0,65000.0,Land,,
"1528 Highway 246 Wentworth, NS B0M 1Z0",45.655361,-63.518002,559900.0,4.0,3.0,0,277708.0,Single Family,,1996.0
"394 Pier Rd Parrsboro, NS B0M 1S0",45.392368,-64.319862,379900.0,3.0,2.0,0,8699.0,Single Family,,1998.0
"36 Mountain View Dr Lower Economy, NS B0M 1J0",45.400372,-63.987541,119000.0,2.0,1.0,0,16988.0,Single Family,Mini,1975.0
"463 Parklands Rd New Russell, NS B0M 2J0",44.8013,-64.388039,449000.0,3.0,2.0,0,435600.0,Single Family,,2000.0
"8729 Highway 2 Great Village, NS B0M 1L0",45.416853,-63.600326,499900.0,,,0,22407.0,Other,,
"6910 Highway 2 Portapique, NS B0M 1B0",45.404873,-63.702225,139990.0,,,0,14375.0,Other,,1928.0
"77 Jenks Ave Parrsboro, NS B0M 1S0",45.40988,-64.32534,245000.0,,,0,23749.0,Multifamily,,
"101 Soley Cove Rd Economy, NS B0M 1J0",45.398941,-63.991909,284900.0,3.0,2.0,0,37414.0,Single Family,Bungalow,1969.0
"798 Spencers Beach Rd Spencers Island, NS B0M 1S0",45.35527,-64.712036,437500.0,5.0,2.0,0,21780.0,Single Family,,1874.0
"3668 Highway 209 Advocate Harbour, NS B0M 1A0",0.0,0.0,449900.0,2.0,2.0,0,174240.0,Single Family,,1976.0
"1159 Belmont Rd Belmont, NS B0M 1C0",45.426083,-63.385849,450000.0,,,0,33541.0,Multifamily,,1992.0
"21 Great Village Lornevale Rd Great Village, NS B0M 1L0",45.417358,-63.60059,289000.0,4.0,2.0,0,12101.0,Single Family,,
"951 Highway 2 Five Islands, NS B0M 1K0",45.411713,-64.046593,299000.0,,,0,21780.0,Multifamily,,
"180 Lake Shore Dr Great Village, NS B0M 1L0",45.388351,-63.56284,499900.0,3.0,2.0,0,65702.0,Single Family,,1999.0
"Lot 5 Bay Bluff Road West Bay, NS B0M 1S0",45.467125,-64.359314,95000.0,,,0,167506.0,Land,,
"West Bay Road West Bay, NS B0M 1S0",45.381096,-64.376457,85000.0,,,0,89956.0,Land,,
"Highway 104 West Wentworth, NS B0M 1Z0",45.586319,-62.562778,28500.0,,,0,29621.0,Land,,
"22 Valley Rd #-1 River Philip, NS B0M 1V0",45.621223,-63.657204,19990.0,,,0,115173.0,Land,,
"104 Yorke Settlement Rd Parrsboro, NS B0M 1S0",45.42588,-64.458824,264500.0,3.0,1.0,0,261360.0,Single Family,,
"65 Beaver Dam Rd Parrsboro, NS B0M 1S0",45.411171,-64.320038,219900.0,4.0,2.0,0,103869.0,Single Family,,1883.0
"1091 Hunter Rd West Wentworth, NS B0M 1Z0",45.682217,-63.610477,269000.0,2.0,1.0,0,43560.0,Single Family,Bungalow,
"279 Westchester Rd Sutherlands Lake, NS B0M 1G0",45.521351,-63.685551,349900.0,2.0,1.0,0,22216.0,Single Family,Bungalow,2010.0
"16509 Highway 2 Springhill Junction, NS B0M 1X0",45.581757,-64.041298,84900.0,,,0,413820.0,Land,,
"464 Bay Shore Rd Five Houses, NS B0M 1B0",45.398392,-63.716679,199000.0,2.0,1.0,0,58144.0,Single Family,Mini,
"Lot 21-2 Black Spruce Lane Wentworth, NS B0M 1Z0",45.627502,-63.554539,74900.0,,,0,48700.0,Land,,
"1103 Highway 321 Springhill, NS B0M 1X0",45.660772,-64.020334,59000.0,,,0,130680.0,Land,,
"1223 Blue Sac Rd Lower Five Islands, NS B0M 1N0",45.411034,-64.107925,220000.0,2.0,2.0,0,71273.0,Single Family,Bungalow,2001.0
"205 Mcgee St Springhill, NS B0M 1X0",45.634587,-64.077589,20000.0,,,0,47498.0,Land,,
"29 Upper Water St Oxford, NS B0M 1P0",45.732189,-63.856899,17900.0,,,0,8002.0,Land,,
"2 Gilbert Rd #22 Parrsboro, NS B0M 1S0",45.380375,-64.254143,69900.0,,,0,53818.0,Land,,
"144 Spencer Point Rd Great Village, NS B0M 1L0",45.395561,-63.622623,250000.0,5.0,2.0,0,90169.0,Single Family,,1972.0
"23 Highway 307 #-1 Wentworth, NS B0M 1Z0",44.981274,-64.962433,42500.0,,,0,110642.0,Land,,
"23 Highway 307 #-2 Wentworth, NS B0M 1Z0",45.655361,-63.518002,42500.0,,,0,107593.0,Land,,
"23 Highway 307 #-4 Wentworth, NS B0M 1Z0",45.655361,-63.518002,42500.0,,,0,156380.0,Land,,
"23 Highway 307 #-3 Wentworth, NS B0M 1Z0",45.655361,-63.518002,42500.0,,,0,108029.0,Land,,
"Pugwash Road Oxford, NS B0M 1P0",0.0,0.0,179000.0,,,0,718740.0,Land,,
"23 Montague Cross Northport, NS B0M 1E0",45.589119,-63.90588,450000.0,3.0,2.0,0,85709.0,Single Family,,2011.0
"77 Victoria St Springhill, NS B0M 1X0",45.644447,-64.055954,20000.0,,,0,6782.0,Land,,
"48 Pleasant St Springhill, NS B0M 1X0",45.647404,-64.051964,35000.0,,,0,19798.0,Land,,
"Lot 8 6 Seven Lee Way Oxford, NS B0M 1P0",45.741884,-63.872113,44900.0,,,0,11526.0,Land,,
"Lot 10 8 Seven Lee Way Oxford, NS B0M 1P0",45.741884,-63.872113,44900.0,,,0,6713.0,Land,,
"Lot 1 Hunter Road West Wentworth, NS B0M 1Z0",0.0,0.0,204900.0,,,0,1764180.0,Land,,
"10 Lot 12b Seven Lee Way Oxford, NS B0M 1P0",45.741879,-63.872102,44900.0,,,0,5641.0,Land,,
"Highway 209 Spencers Island, NS B0M 1S0",45.333931,-64.748505,27500.0,,,0,1306800.0,Land,,
"23 Mccormick St #-2 Oxford, NS B0M 1P0",45.730038,-63.855351,44900.0,,,0,6713.0,Land,,
"135 Orchard Beach Dr Portapique, NS B0M 1B0",45.397449,-63.70327,498500.0,4.0,3.0,0,62996.0,Single Family,Chalet,2005.0
"24 Sunrise Trl Port Howe, NS B0M 1K0",45.717274,-63.302906,47900.0,,,0,74914.0,Land,,
"Hunter Road Lower Wentworth, NS B0M 1Z0",0.0,0.0,26000.0,,,0,62291.0,Land,,
"1 Phinney Lane #04 Parrsboro, NS B0M 1S0",45.387878,-64.333717,99000.0,,,0,,Land,,
"2 Phinney Lane #04 Parrsboro, NS B0M 1S0",45.388397,-64.335228,149000.0,,,0,,Land,,
"12 Seven Lee Way #a Oxford, NS B0M 1P0",45.741884,-63.872113,44900.0,,,0,4800.0,Land,,
"34 Pemberton Ave Windsor, NS B0N 2T0",44.975311,-64.112938,479900.0,2.0,2.0,0,4626.0,Single Family,Bungalow,
"220 Edwards Rd Colchester, Subd. C, NS B0N 1C0",45.296432,-63.279697,379900.0,2.0,2.0,0,561053.0,Single Family,,1947.0
"19571959 Highway 14 Windsor, NS B0N 2T0",44.846848,-64.224632,499900.0,4.0,3.0,0,39204.0,Single Family,Bungalow,1913.0
"762 Pioneer Dr Windsor, NS B0N 2T0",44.858242,-64.247643,689900.0,3.0,3.0,0,87120.0,Single Family,Bungalow,2003.0
"134 Canyon Point Road Unit 23 Windsor, NS B0N 2T0",44.86459,-64.240128,329000.0,1.0,1.0,0,,Single Family,,2008.0
"54 Kendall Ln Windsor, NS B0N 2T0",44.975559,-64.130173,429900.0,4.0,2.0,0,10620.0,Single Family,Bungalow,1971.0
"727 King St Windsor, NS B0N 2T0",44.988266,-64.129776,124900.0,,,0,10202.0,Single Family,,1918.0
"1458 Wentworth Rd Windsor, NS B0N 2T0",44.9832,-64.049126,465000.0,3.0,1.0,0,137040.0,Single Family,Bungalow,2005.0
"102 Canyon Point Road Unit 12 Windsor, NS B0N 2T0",44.866894,-64.239288,696700.0,3.0,2.0,0,,Single Family,Bungalow,2008.0
"2 Kitchener Street Stewiacke, NS B0N 2J0",45.138714,-63.346569,69900.0,,,0,8795.0,Land,,
"194 King Street #184 Windsor, NS B0N 2T0",44.994194,-64.135193,949900.0,,,0,22142.0,Other,,
"8 Irven Dr Windsor, NS B0N 2T0",44.98093,-64.108398,279900.0,3.0,2.0,0,,Single Family,Mini,2009.0
"417 Summit Ridge Rd Windsor, NS B0N 2T0",44.863316,-64.237007,749900.0,3.0,2.0,0,65736.0,Single Family,,2018.0
"311317 Clifton Ave Windsor, NS B0N 2T0",44.991219,-64.138901,499900.0,7.0,3.0,0,12798.0,Single Family,,1910.0
"24 Fairfield Ct Windsor, NS B0N 2T0",44.987255,-64.119484,449900.0,2.0,2.0,0,3903.0,Single Family,Bungalow,2021.0
"13 Main St E Stewiacke, NS B0N 2J0",45.138493,-63.353428,179900.0,1.0,1.0,0,7919.0,Single Family,Mini,2010.0
"46 Jared Ct Windsor, NS B0N 2T0",44.978912,-64.106621,489999.0,4.0,2.0,0,7649.0,Single Family,,2008.0
"94 St Andrews St Stewiacke, NS B0N 2J0",45.135376,-63.343075,329900.0,2.0,2.0,0,87120.0,Single Family,,1938.0
"420 Wyse Rd Meaghers Grant, NS B0N 1V0",44.940197,-63.26228,979900.0,2.0,2.0,0,182081.0,Single Family,,2007.0
"6 Partridge Ln Vaughan, NS B0N 2T0",0.0,0.0,399900.0,2.0,1.0,0,,Single Family,,2012.0
"6580 Highway 215 Cheverie, NS B0N 1G0",45.162552,-64.164154,274900.0,2.0,1.0,0,54372.0,Single Family,Bungalow,1986.0
"90 Highway 224 Gays River, NS B0N 2H0",45.081997,-63.398945,417900.0,3.0,2.0,0,69696.0,Single Family,Bungalow,
"7250 Highway 354 North Noel Road, NS B0N 1T0",45.301075,-63.596596,67500.0,,,0,479160.0,Land,,
"179 Piggott Lake Rd Lakelands, NS B0N 1Z0",0.0,0.0,799900.0,2.0,2.0,0,17498.0,Single Family,Bungalow,1969.0
"Lot A10 South Rawdon Hillsvale, NS B0N 1Z0",0.0,0.0,72000.0,,,0,58806.0,Land,,
"194 Heritage Way East Uniacke, NS B0N 1Z0",44.952503,-63.808273,539900.0,2.0,1.0,0,34273.0,Single Family,Bungalow,2022.0
"45 Sylvia Ave Milford, NS B0N 1Y0",45.051834,-63.428665,59000.0,,,0,16265.0,Land,,
"1 Ns-357 Middle Musquodoboit, NS B0N 1X0",0.0,0.0,399900.0,2.0,2.0,0,43560.0,Single Family,Bungalow,
"1147 Milford Rd Milford, NS B0N 1Y0",45.039715,-63.438091,499900.0,4.0,4.0,0,78330.0,Single Family,,1942.0
"48 Sylvia Ave Milford, NS B0N 1Y0",45.054665,-63.42992,59000.0,,,0,11260.0,Land,,
"2316 Highway 2 Milford, NS B0N 1Y0",45.053846,-63.433232,349900.0,,,0,221612.0,Land,,
"Lot 13 Douglaswood Drive Lakelands, NS B0N 1Z0",0.0,0.0,65000.0,,,0,86684.0,Land,,
"17 Nathaniel Ave Mount Uniacke, NS B0N 1Z0",44.873672,-63.779133,129900.0,2.0,1.0,0,,Single Family,Mini,1976.0
"Lot 82-1 Cooks Lake Road Cooks Brook, NS B0N 2H0",0.0,0.0,46333.0,,,0,110207.0,Land,,
"485 Highway 336 Upper Musquodoboit, NS B0N 2M0",0.0,0.0,75000.0,3.0,1.0,0,65776.0,Single Family,,1975.0
"47 Blueberry Ln Mount Uniacke, NS B0N 1A0",44.877789,-63.807583,999999.0,3.0,3.0,0,310304.0,Single Family,Bungalow,2012.0
"Quarry Road Walton, NS B0N 1T0",0.0,0.0,45000.0,,,0,370260.0,Land,,
"Highway 2 Hilden, NS B0N 1C0",0.0,0.0,,,,0,239580.0,Other,,2023.0
"881 Mcmullin Rd Antrim, NS B0N 1Y0",44.961372,-63.358212,374500.0,3.0,2.0,0,79715.0,Single Family,,1982.0
